  9   9    21221    R100000235R1N2009080824 473284E                                                                                                                                  Wishram Combined College
  9   9    21221    R100000228H1N2009030723 253451P          214431 425                                                                                                              Wishram Combined College
  9   9    21215    R100000081K1N2009110424 272361P          211244 244                                                                                                          Isovalerate Combined College
  9   9    21221    R100000233H1N2009032123 474481P          124343 414                                                                                                              Wishram Combined College
  9   9    21215    R100000088P1N2009051924 384173P          341265 262                                                                                                          Isovalerate Combined College
  9   9    21220    R100000222K1N2009102711 261261P          214443 143                                                                                                       Unturpentined Secondary College
  9   9    21221    R100000226M1N2009040412 362384P          465613 354                                                                                                              Wishram Combined College
  9   9    21218    R100000166G1N2009021523 473254P          411563 545                                                                                                        Redistrainer Secondary College
  9   9    21218    R100000150A1N2009092124 384163P          343431 443                                                                                                        Redistrainer Secondary College
  9   9    21216    R100000121S1N2009090814 362453S                                                                                                                          Ophthalmoplegia Combined College
  9   9    21219    R100000193A1N2009022313 481251P          234222 513                                                                                                            Trotcozy Secondary College
  9   9    21218    R100000157E1N2009062313 471382P          346632 123                                                                                                        Redistrainer Secondary College
  9   9    21219    R100000192P1N2009030913 383252A                                                                                                                                Trotcozy Secondary College
  9   9    21220    R100000217K1N2009041521 183483P          324314 251                                                                                                       Unturpentined Secondary College
  9   9    21216    R100000109G1N2009110813 383462P          263314 335                                                                                                      Ophthalmoplegia Combined College
  9   9    21218    R100000171G1N2009122022 464371P          452652 341                                                                                                        Redistrainer Secondary College
  9   9    21219    R100000199K1N2009070221 454151P          366161 231                                                                                                            Trotcozy Secondary College
  9   9    21218    R100000156K1N2009061222 482252P          346226 453                                                                                                        Redistrainer Secondary College
  9   9    21216    R100000107A1N2009061413 251164W                                                                                                                          Ophthalmoplegia Combined College
  9   9    21216    R100000108M1N2009012711 354161P          264621 613                                                                                                      Ophthalmoplegia Combined College
  9   9    21219    R100000179R1N2009072311 262183P          443554 636                                                                                                            Trotcozy Secondary College
  9   9    21219    R100000197S1N2009040213 171471R                                                                                                                                Trotcozy Secondary College
  9   9    21219    R100000176E1N2009032014 361381P          126154 516                                                                                                            Trotcozy Secondary College
  9   9    21218    R100000155R1N2009061322 281353P          122435 635                                                                                                        Redistrainer Secondary College
  9   9    21218    R100000152G1N2009121822 452483P          131343 211                                                                                                        Redistrainer Secondary College
  9   9    21218    R100000165M1N2009051023 252261S                                                                                                                            Redistrainer Secondary College
  9   9    21220    R100000223E1N2009020824 451271P          444424 644                                                                                                       Unturpentined Secondary College
  9   9    21219    R100000181E1N2009022512 164464W                                                                                                                                Trotcozy Secondary College
  9   9    21216    R100000104K1N2009112511 384483P          121214 653                                                                                                      Ophthalmoplegia Combined College
  9   9    21218    R100000164S1N2009050913 462484P          664434 455                                                                                                        Redistrainer Secondary College
  9   9    21219    R100000189M1N2009121114 273473P          653462 625                                                                                                            Trotcozy Secondary College
  9   9    21218    R100000159S1N2009070612 173273P          243415 255                                                                                                        Redistrainer Secondary College
  9   9    21219    R100000196D1N2009112412 371172P          645361 166                                                                                                            Trotcozy Secondary College
  9   9    21216    R100000101D1N2009042112 252252P          661126 523                                                                                                      Ophthalmoplegia Combined College
