School,YrLevel,Domain,REF_ID,PLATFORM_STUDENT_IDENTIFIER,SCHOOL_ACARA_ID,TEST_ID,PARTICIPATION_CODE,PARTICIPATION_TEXT,ADJUSTMENT,DEVICE,TEST_DATE,TEST_START_TIME,LAPSED_TIME_TEST
21221,9,Spelling,c2127c86-d7db-4453-bafb-cfa50ea49ee7,R100000235R,21221,x001068024_Spelling,P,Present,,,,,
21221,9,Writing,ed007f41-1a37-4c5c-800f-85de85b7ef9c,R100000235R,21221,x001068020_Writing,E,Exempt,,,,,
21221,9,GrammarAndPunctuation,b2e11378-5ba3-4c0a-b634-846b90b66ce1,R100000235R,21221,x001068023_Grammar and Punctuation,P,Present,,,,,
21221,9,Reading,d82b4a09-4304-4a76-9900-ad41bea618d7,R100000235R,21221,x001068019_Reading,P,Present,"[""AIA"",""ETD""]",,,,
21221,9,Numeracy,8d30502b-5204-447f-8412-f99578e1db58,R100000235R,21221,x001068022_Numeracy,P,Present,,,,,
21215,5,Spelling,46c7315b-7820-4ce9-9f37-36c49c52a331,R100000098S,21215,x001068012_Spelling,P,Present,"[""AIA"",""COL""]",,,,
21215,5,Writing,3561d814-d0e5-4c38-8190-0a56f211b82c,R100000098S,21215,x00106808_Writing,P,Present,,,,,
21215,5,GrammarAndPunctuation,40f32436-d4bb-4ca2-862d-e824a93f2ed8,R100000098S,21215,x001068011_Grammar and Punctuation,P,Present,,,,,
21215,5,Reading,ddcf0bc9-a4b8-4b01-9179-026acba43114,R100000098S,21215,x00106807_Reading,P,Present,,,,,
21215,5,Numeracy,608f13b3-6704-4abe-a7b3-ba35d5690d43,R100000098S,21215,x001068010_Numeracy,P,Present,,,,,
21213,5,Spelling,f7dbc688-241f-4346-8b58-3026cb96dda8,R100000042R,21213,x001068012_Spelling,P,Present,"[""AIA"",""AST""]",,,,
21213,5,Writing,4cd7c8c9-451c-47d7-865f-a2c393e6fe46,R100000042R,21213,x00106808_Writing,P,Present,"[""AIA""]",,,,
21213,5,GrammarAndPunctuation,886f7432-15e1-4bb6-a4c0-73f5abb0bc31,R100000042R,21213,x001068011_Grammar and Punctuation,P,Present,,,,,
21213,5,Reading,084c02a1-d3a2-424f-ae1e-d8fca60309a7,R100000042R,21213,x00106807_Reading,S,Sanctioned Abandonment,,,,,
21213,5,Numeracy,832ebc74-31f6-44bc-8d81-3a0602422a0c,R100000042R,21213,x001068010_Numeracy,P,Present,,,,,
21214,3,GrammarAndPunctuation,61896492-8c03-4ce3-9252-a3ca22299c16,R100000053G,21214,x00106805_Grammar and Punctuation,P,Present,"[""ETD"",""AIA""]",,,,
21214,3,Reading,d87f9819-6234-4758-8a9c-6e996cc7294c,R100000053G,21214,x00106801_Reading,R,Refused,,,,,
