REF_ID,TEST_ID,ITEM_ID,NAME,ITEM_TYPE,SUBDOMAIN,DESCRIPTOR,MC_OPTIONS,CORRECT_ANSWER,MAXIMUM_SCORE,ITEM_DIFFICULTY,ITEM_DIFFICULTYLOGIT5,ITEM_DIFFICULTYLOGIT62,ITEM_DIFFICULTYLOGIT5SE,ITEM_DIFFICULTYLOGIT62SE,ITEM_PROFICIENCY_BAND,ITEM_PROFICIENCY_LEVEL,CONTENT_DESCRIPTION,SUBSTITUTE_ITEM_REFIDS,SUBSTITUTE_ITEM_LOCALIDS,SUBSTITUTE_ITEM_PNP_CODES
003b979d-7a77-46df-977c-fcf8e273fbcb,e5f9101a-354f-4225-83c9-544d27694047,x00100697,x00100697,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
003b979d-7a77-46df-977c-fcf8e273fbcb,e5f9101a-354f-4225-83c9-544d27694047,x00100697,x00100697,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
003b979d-7a77-46df-977c-fcf8e273fbcb,76ac3d80-0bee-45b1-9e17-4652106f1ece,x00100697,x00100697,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
003b979d-7a77-46df-977c-fcf8e273fbcb,76ac3d80-0bee-45b1-9e17-4652106f1ece,x00100697,x00100697,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
004e6bce-0367-4b66-a36c-d27559f71807,8a2e7ca8-ffc0-4d4a-bcba-8be84a2dee9f,x00102226,x00102226,IC,Letters,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
004e6bce-0367-4b66-a36c-d27559f71807,8a2e7ca8-ffc0-4d4a-bcba-8be84a2dee9f,x00102226,x00102226,IC,Letters,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
0058b387-c63b-4f74-b47a-8a69096aa699,89962801-3783-4217-869b-5485bf1580b1,x00102401,x00102401,TE,Spelling,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
0058b387-c63b-4f74-b47a-8a69096aa699,89962801-3783-4217-869b-5485bf1580b1,x00102401,x00102401,TE,Spelling,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
00788946-0606-452b-8acb-e0f32703dcdb,fa413f27-5422-43b1-bfd0-dc86a7eb13b0,x00100378,x00100378,IGA,Grammar,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
00788946-0606-452b-8acb-e0f32703dcdb,fa413f27-5422-43b1-bfd0-dc86a7eb13b0,x00100378,x00100378,IGA,Grammar,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
00a62e56-1453-40f1-8a8f-f5331995992c,fab3b5e8-ba46-4254-a027-3f0bd9aa4c9b,x00101368,x00101368,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
00a62e56-1453-40f1-8a8f-f5331995992c,fab3b5e8-ba46-4254-a027-3f0bd9aa4c9b,x00101368,x00101368,MC,Numbers,Descriptor #1,4,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
00baeb8c-a212-4b1b-8bf9-ac7ec873ac92,e73f56be-e4ca-4b88-ad41-a355e2db972f,x00102098,x00102098,PO,Letters,Descriptor #1,,,1,3,.8,.9,.8,.9,3,Proficient,"[""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA072"",""http://www.australiancurriculum.edu.au/curriculum/contentdescription/ACMNA037""]",,,
