School,YrLevel,Domain,REF_ID,PLATFORM_STUDENT_IDENTIFIER,TEST_ID,PATH_TAKEN_FOR_DOMAIN,PARALLEL_TEST,RAW_SCORE,SCALED_SCORE_VALUE,SCALED_SCORE_LOGIT_VALUE,SCALED_SCORE_SE,SCALED_SCORE_LOGIT_SE,STUDENT_DOMAIN_BAND,STUDENT_PROFICIENCY,PLAUSIBLE_SCALED_VALUE
21221,9,Spelling,1ddefae8-de40-467e-826d-c6a4d56498e0,R100000235R,2b29bc7b-f81b-4991-8294-32d4aad27a93,SA:SB:PB,SA1:SB1:PB0,15.00,595.00,18.36,18.31,18.07,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21221,9,GrammarAndPunctuation,80d34524-e368-403c-8513-05ca591cd915,R100000235R,65dbb0e0-a0a6-49dc-b56b-c478e0d10f92,GF,F1,14.00,589.00,21.75,18.16,20.65,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21221,9,Reading,d0744ed1-1c95-4449-965b-24f523e64184,R100000235R,8a2e7ca8-ffc0-4d4a-bcba-8be84a2dee9f,A:D:F,A3:D0:F0,35.00,614.38,22.44,21.26,21.19,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21221,9,Numeracy,5acc909e-e05a-4c16-849b-d18926a2128e,R100000235R,fab3b5e8-ba46-4254-a027-3f0bd9aa4c9b,CA:D:C:E,CA1:D1:C0:E1,42.00,603.44,21.03,19.04,19.81,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21215,5,Spelling,213a52f7-8a75-4669-b092-25f101669711,R100000098S,0b925081-9b83-4c90-b0f2-bc58fd0ad7b4,SA:SD:PB,SA1:SD0:PB1,19.00,539.00,21.69,19.80,21.98,7,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21215,5,Writing,e1372286-e02a-4960-bd16-8a7b17181ed3,R100000098S,5c39a5af-d944-4150-ac25-4629ee3d362b,,,1.00,575.00,22.88,22.04,22.40,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21215,5,GrammarAndPunctuation,84056530-6a2c-4abb-af72-17778e2076be,R100000098S,80c19e71-68f5-4154-b4d0-ff931766be8b,GF,F1,19.00,539.00,20.73,20.97,22.99,7,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21215,5,Reading,8c7365eb-f104-452b-b801-524a07dfbda4,R100000098S,9d8c18b5-1125-4e06-a90c-c62f09fb25c1,A:D:F,A1:D1:F0,33.00,535.00,21.51,19.46,20.61,6,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21215,5,Numeracy,b5781b72-bec6-43ed-9fcf-aeb0312c59f5,R100000098S,e5f9101a-354f-4225-83c9-544d27694047,A:B:C,A2:B0:C0,30.00,525.00,20.23,19.12,22.99,6,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21213,5,Spelling,c62fb5ee-f3b0-490a-9de8-c59718cb5ff9,R100000042R,0b925081-9b83-4c90-b0f2-bc58fd0ad7b4,SA:SB:PB,SA0:SB0:PB1,16.00,521.00,20.26,21.85,21.30,6,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21213,5,Writing,ac3a3585-9cd6-4e03-a24e-58ae323783b4,R100000042R,5c39a5af-d944-4150-ac25-4629ee3d362b,,,1.00,575.00,22.50,22.92,19.03,8,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21213,5,GrammarAndPunctuation,fabba012-21f7-47b4-a6c8-9073562418f6,R100000042R,80c19e71-68f5-4154-b4d0-ff931766be8b,GF,F1,17.00,527.00,19.91,21.03,22.30,6,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
21213,5,Reading,f094daff-83b3-4b9e-b3b3-481c42e066ea,R100000042R,9d8c18b5-1125-4e06-a90c-c62f09fb25c1,A:D:F,A1:D1:F0,,,,,,,,
21213,5,Numeracy,47348b61-e5ac-45a4-ac64-c48ec3bc22ab,R100000042R,e5f9101a-354f-4225-83c9-544d27694047,NC:D:C,NC1:D0:C0,25.00,508.33,19.39,20.58,19.74,6,Proficient,"[""14"",""15"",""16"",""17"",""18""]"
