TESTLET_ID,ITEM_ID,SEQUENCE
x00100933,x00100697,6
x00100933,x00100697,6
x00100685,x00100697,12
x00100685,x00100697,12
x00102218,x00102226,8
x00102218,x00102226,8
x00102391,x00102401,10
x00102391,x00102401,10
x00100365,x00100378,13
x00100365,x00100378,13
x00101353,x00101368,15
x00101353,x00101368,15
x00102082,x00102098,16
x00102082,x00102098,16
x00100882,x00100895,13
x00100882,x00100895,13
x00100287,x00100303,16
x00100287,x00100303,16
x00100670,x00100671,1
x00100670,x00100671,1
x00101281,x00101290,9
x00101281,x00101290,9
x00102402,x00102405,3
x00102402,x00102405,3
x00102391,x00102399,8
x00102391,x00102399,8
x00100573,x00100574,1
x00100573,x00100574,1
x00102014,x00102022,8
x00102014,x00102022,8
x00100745,x00100750,5
x00100745,x00100750,5
x00101515,x00101524,9
x00101515,x00101524,9
x00101389,x00101404,15
x00101389,x00101404,15
x00100157,x00100178,21
x00100157,x00100178,21
x00101817,x00101714,13
x00101817,x00101714,13
x00101709,x00101714,5
x00101709,x00101714,5
x00101389,x00101183,2
x00101389,x00101183,2
x00101173,x00101183,10
x00101173,x00101183,10
x00102500,x00102510,10
x00102500,x00102510,10
x00102150,x00102156,6
x00102150,x00102156,6
x00101611,x00101619,8
x00101611,x00101619,8
x00100790,x00100796,6
x00100790,x00100796,6
x00100313,x00100316,3
x00100313,x00100316,3
x00100850,x00100851,1
x00100850,x00100851,1
x00102557,x00102563,6
x00102557,x00102563,6
x00101625,x00101637,12
x00101625,x00101637,12
x00100417,x00100440,23
x00100417,x00100440,23
x00100417,x00100424,7
x00100417,x00100424,7
x00100521,x00100532,11
x00100521,x00100532,11
x00100805,x00100810,5
x00100805,x00100810,5
x00100984,x00100994,10
x00100984,x00100994,10
x00101191,x00100994,3
x00101191,x00100994,3
x00102184,x00102188,4
x00102184,x00102188,4
x00102435,x00102439,4
x00102435,x00102439,4
x00102065,x00102071,6
x00102065,x00102071,6
x00102150,x00102071,14
x00102150,x00102071,14
x00102184,x00102071,14
x00102184,x00102071,14
x00100967,x00100982,15
x00100967,x00100982,15
x00101173,x00100982,8
x00101173,x00100982,8
x00100850,x00100853,3
x00100850,x00100853,3
x00101209,x00101215,6
x00101209,x00101215,6
x00102655,x00102664,9
x00102655,x00102664,9
x00101371,x00101385,14
x00101371,x00101385,14
x00101137,x00101154,16
x00102489,x00102491,2
x00102489,x00102491,2
x00100547,x00100563,16
x00100547,x00100563,16
x00102116,x00102130,14
x00102116,x00102130,14
x00100105,x00100111,6
x00100105,x00100111,6
x00100730,x00100733,3
x00100730,x00100733,3
x00101753,x00101685,12
x00101753,x00101685,12
x00101785,x00101685,12
x00101785,x00101685,12
x00101681,x00101685,4
x00101681,x00101685,4
x00102707,x00102710,3
x00102707,x00102710,3
x00101709,x00101721,12
x00101709,x00101721,12
x00102540,x00102540-05-AIA,6
x00102435,x00102435-03-AIA,4
x00101425,x00101427,2
x00101425,x00101427,2
x00102116,x00102128,12
x00102116,x00102128,12
x00101515,x00101527,12
x00101515,x00101527,12
x00100573,x00100583,10
x00100573,x00100583,10
x00102269,x00102285,16
x00102269,x00102285,16
x00100775,x00100788,13
x00100775,x00100788,13
x00102511,x00102517,6
x00102511,x00102517,6
x00101461,x00101469,8
x00101461,x00101469,8
x00101317,x00101334,16
x00102235,x00102238,3
x00102235,x00102238,3
x00100339,x00100343,4
x00100339,x00100343,4
x00102065,x00102078,13
x00102065,x00102078,13
x00101695,x00101705,10
x00101695,x00101705,10
x00102522,x00102531,9
x00102522,x00102531,9
x00100495,x00100515,20
x00100495,x00100515,20
x00101723,x00101725,2
x00101723,x00101725,2
x00102286,x00102298,12
x00102286,x00102298,12
x00100105,x00100125,20
x00100105,x00100125,20
x00102449,x00102450,1
x00102449,x00102450,1
x00102469,x00102476,7
x00102469,x00102476,7
x00100850,x00100854,4
x00100850,x00100854,4
x00101946,x00101953,7
x00101946,x00101953,7
x00100685,x00100686,1
x00100685,x00100686,1
x00102099,x00102109,10
x00102099,x00102109,10
x00100655,x00100660,5
x00100655,x00100660,5
x00100365,x00100385,20
x00100365,x00100385,20
x00102116,x00102120,4
x00102116,x00102120,4
x00101597,x00101604,7
x00101597,x00101604,7
x00101515,x00101517,2
x00101515,x00101517,2
x00100027,x00100048,21
x00100027,x00100048,21
x00101497,x00101509,12
x00101497,x00101509,12
x00101980,x00101985,5
x00101980,x00101985,5
x00100027,x00100043,16
x00100027,x00100043,16
x00101963,x00101964,1
x00101963,x00101964,1
x00100313,x00100320,7
x00100313,x00100320,7
x00100547,x00100560,13
x00100547,x00100560,13
x00101625,x00101633,8
x00101625,x00101633,8
x00102320,x00102335,15
x00102320,x00102335,15
x00102442,x00102448,6
x00102442,x00102448,6
x00100209,x00100213,4
x00100209,x00100213,4
x00101737,x00101674,15
x00101737,x00101674,15
x00101769,x00101674,15
x00101769,x00101674,15
x00101667,x00101674,7
x00101667,x00101674,7
x00101443,x00101319,10
x00101443,x00101319,10
x00101317,x00101319,2
x00101317,x00101319,2
x00101443,x00101447,4
x00101443,x00101447,4
x00101120,x00101124,4
x00101120,x00101124,4
x00102116,x00102132,16
x00102116,x00102132,16
x00102150,x00102158,8
x00102150,x00102158,8
x00101667,x00101679,12
x00101667,x00101679,12
x00102620,x00102626,6
x00102620,x00102626,6
x00100573,x00100581,8
x00100573,x00100581,8
x00100573,x00100582,9
x00100573,x00100582,9
x00102500,x00102508,8
x00102500,x00102508,8
x00100209,x00100215,6
x00100209,x00100215,6
x00101353,x00101363,10
x00101353,x00101363,10
x00100745,x00100749,4
x00100745,x00100749,4
x00100183,x00100206,23
x00100183,x00100206,23
x00100760,x00100763,3
x00100760,x00100763,3
x00101497,x00101503,6
x00101497,x00101503,6
x00100730,x00100731,1
x00100730,x00100731,1
x00101018,x00101022,4
x00101018,x00101022,4
x00100001,x00100003,2
x00100001,x00100003,2
x00101479,x00101481,2
x00101479,x00101481,2
x00100933,x00100944,11
x00100933,x00100944,11
x00101137,x00100944,4
x00101137,x00100944,4
x00100547,x00100555,8
x00100547,x00100555,8
x00101515,x00101523,8
x00101515,x00101523,8
x00101353,x00101370,16
x00100984,x00100742,6
x00100984,x00100742,6
x00100730,x00100742,12
x00100730,x00100742,12
x00102449,x00102453,4
x00102449,x00102453,4
x00102696,x00102706,10
x00102696,x00102706,10
x00101052,x00101060,8
x00101052,x00101060,8
x00101709,x00101710,1
x00101709,x00101710,1
x00101817,x00101710,9
x00101817,x00101710,9
x00100183,x00100188,5
x00100183,x00100188,5
x00101069,x00101072,3
x00101069,x00101072,3
x00102645,x00102649,4
x00102645,x00102649,4
x00100027,x00100031,4
x00100027,x00100031,4
x00101443,x00101450,7
x00101443,x00101450,7
x00100131,x00100146,15
x00100131,x00100146,15
x00101389,x00101401,12
x00101389,x00101401,12
x00101018,x00101034,15
x00101611,x00101612,1
x00101611,x00101612,1
x00102479,x00102488,9
x00102479,x00102488,9
x00101407,x00101418,11
x00101407,x00101418,11
x00100469,x00100490,21
x00100469,x00100490,21
x00100933,x00100698,7
x00100933,x00100698,7
x00100685,x00100698,13
x00100685,x00100698,13
x00101209,x00101210,1
x00101209,x00101210,1
x00100079,x00100098,19
x00100079,x00100098,19
x00100790,x00100802,12
x00100790,x00100802,12
x00101667,x00101675,8
x00101667,x00101675,8
x00100495,x00100505,10
x00100495,x00100505,10
x00100001,x00100023,22
x00100001,x00100023,22
x00102655,x00102656,1
x00102655,x00102656,1
x00101881,x00101892,11
x00101881,x00101892,11
x00100027,x00100050,23
x00100027,x00100050,23
x00102511,x00102516,5
x00102511,x00102516,5
x00102645,x00102648,3
x00102645,x00102648,3
x00101497,x00101514,16
x00100079,x00100081,2
x00100079,x00100081,2
x00102655,x00102663,8
x00102655,x00102663,8
x00100053,x00100068,15
x00100053,x00100068,15
x00100805,x00100813,8
x00100805,x00100813,8
x00100235,x00100247,12
x00100235,x00100247,12
x00101913,x00101924,11
x00101913,x00101924,11
x00101611,x00101620,9
x00101611,x00101620,9
x00101709,x00101717,8
x00101709,x00101717,8
x00100053,x00100075,22
x00100053,x00100075,22
x00100391,x00100408,17
x00100391,x00100408,17
x00102620,x00102628,8
x00102620,x00102628,8
x00100547,x00100562,15
x00100547,x00100562,15
x00100745,x00100759,13
x00102286,x00102288,2
x00102286,x00102288,2
x00102424,x00102432,8
x00102424,x00102432,8
x00102031,x00102039,8
x00102031,x00102039,8
x00100235,x00100258,23
x00100235,x00100258,23
x00100287,x00100289,2
x00100287,x00100289,2
x00101597,x00101607,10
x00101597,x00101607,10
x00100313,x00100332,19
x00100313,x00100332,19
x00102435,x00102436,1
x00102435,x00102436,1
x00101245,x00101262,16
x00102500,x00102501,1
x00102500,x00102501,1
x00101583,x00101585,2
x00101583,x00101585,2
x00101317,x00101331,14
x00101317,x00101331,14
x00102031,x00102038,7
x00102031,x00102038,7
x00101625,x00101638,13
x00101625,x00101638,13
x00100105,x00100126,21
x00100105,x00100126,21
x00102371,x00102379,8
