REF_ID,TEST_ID,ITEM_ID,RUBRIC,DESCRIPTOR,MAX_SCORE
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Audience,"The writer’s capacity to orient, engage and affect the reader",6
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Vocabulary,The range and precision of language choices.,5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Spelling,The accuracy of spelling and the difficulty of the words used.,6
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Audience,"The writer’s capacity to orient, engage and affect the reader",6
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
