Year,Year_Level,Item_ID,Strand,LocationInStage,SequenceNumber,Item_Type,Item,Answer,StimulusList,Description,Substrand
2017,5,x00100697,Numeracy,1,6,MC,x00100697,,,Descriptor #1,Numbers
2017,5,x00100697,Numeracy,1,6,MC,x00100697,,,Descriptor #1,Numbers
2017,3,x00100697,Numeracy,1,12,MC,x00100697,,,Descriptor #1,Numbers
2017,3,x00100697,Numeracy,1,12,MC,x00100697,,,Descriptor #1,Numbers
2017,9,x00102226,Reading,2,8,IC,x00102226,,"[""etxyq823""]",Descriptor #1,Letters
2017,9,x00102226,Reading,2,8,IC,x00102226,,"[""etxyq823""]",Descriptor #1,Letters
2017,3,x00102401,Spelling,1,10,TE,x00102401,,,Descriptor #1,Spelling
2017,3,x00102401,Spelling,1,10,TE,x00102401,,,Descriptor #1,Spelling
2017,7,x00100378,Grammar and Punctuation,1,13,IGA,x00100378,,,Descriptor #1,Grammar
2017,7,x00100378,Grammar and Punctuation,1,13,IGA,x00100378,,,Descriptor #1,Grammar
2017,9,x00101368,Numeracy,1,15,MC,x00101368,,,Descriptor #1,Numbers
2017,9,x00101368,Numeracy,1,15,MC,x00101368,,,Descriptor #1,Numbers
2017,7,x00102098,Reading,1,16,PO,x00102098,,"[""cunkt548""]",Descriptor #1,Letters
2017,7,x00102098,Reading,1,16,PO,x00102098,,"[""cunkt548""]",Descriptor #1,Letters
2017,5,x00100895,Numeracy,2,13,MC,x00100895,,,Descriptor #1,Numbers
2017,5,x00100895,Numeracy,2,13,MC,x00100895,,,Descriptor #1,Numbers
2017,5,x00100303,Grammar and Punctuation,2,16,TE,x00100303,,,Descriptor #1,Grammar
2017,5,x00100303,Grammar and Punctuation,2,16,TE,x00100303,,,Descriptor #1,Grammar
2017,3,x00100671,Numeracy,4,1,SL,x00100671,,,Descriptor #1,Numbers
2017,3,x00100671,Numeracy,4,1,SL,x00100671,,,Descriptor #1,Numbers
2017,7,x00101290,Numeracy,2,9,TE,x00101290,,,Descriptor #1,Numbers
2017,7,x00101290,Numeracy,2,9,TE,x00101290,,,Descriptor #1,Numbers
2017,3,x00102405,Spelling,2,3,MC,x00102405,,,Descriptor #1,Spelling
2017,3,x00102405,Spelling,2,3,MC,x00102405,,,Descriptor #1,Spelling
2017,3,x00102399,Spelling,1,8,MC,x00102399,,,Descriptor #1,Spelling
2017,3,x00102399,Spelling,1,8,MC,x00102399,,,Descriptor #1,Spelling
2017,9,x00100574,Grammar and Punctuation,1,1,MC,x00100574,,,Descriptor #1,Grammar
2017,9,x00100574,Grammar and Punctuation,1,1,MC,x00100574,,,Descriptor #1,Grammar
2017,7,x00102022,Reading,2,8,MC,x00102022,,"[""tmddk934""]",Descriptor #1,Letters
2017,7,x00102022,Reading,2,8,MC,x00102022,,"[""tmddk934""]",Descriptor #1,Letters
2017,3,x00100750,Numeracy,1,5,MC,x00100750,,,Descriptor #1,Numbers
2017,3,x00100750,Numeracy,1,5,MC,x00100750,,,Descriptor #1,Numbers
2017,9,x00101524,Numeracy,1,9,MC,x00101524,,,Descriptor #1,Numbers
2017,9,x00101524,Numeracy,1,9,MC,x00101524,,,Descriptor #1,Numbers
2017,9,x00101404,Numeracy,1,15,SP,x00101404,,,Descriptor #1,Numbers
2017,9,x00101404,Numeracy,1,15,SP,x00101404,,,Descriptor #1,Numbers
2017,5,x00100178,Grammar and Punctuation,1,21,TE,x00100178,,,Descriptor #1,Grammar
2017,5,x00100178,Grammar and Punctuation,1,21,TE,x00100178,,,Descriptor #1,Grammar
2017,5,x00101714,Reading,2,13,MC,x00101714,,"[""nzqml941""]",Descriptor #1,Letters
2017,5,x00101714,Reading,2,13,MC,x00101714,,"[""nzqml941""]",Descriptor #1,Letters
2017,3,x00101714,Reading,2,5,MC,x00101714,,"[""nzqml941""]",Descriptor #1,Letters
2017,3,x00101714,Reading,2,5,MC,x00101714,,"[""nzqml941""]",Descriptor #1,Letters
2017,9,x00101183,Numeracy,1,2,TE,x00101183,,,Descriptor #1,Numbers
2017,9,x00101183,Numeracy,1,2,TE,x00101183,,,Descriptor #1,Numbers
2017,7,x00101183,Numeracy,1,10,TE,x00101183,,,Descriptor #1,Numbers
2017,7,x00101183,Numeracy,1,10,TE,x00101183,,,Descriptor #1,Numbers
2017,5,x00102510,Spelling,2,10,MC,x00102510,,,Descriptor #1,Spelling
2017,5,x00102510,Spelling,2,10,MC,x00102510,,,Descriptor #1,Spelling
2017,9,x00102156,Reading,2,6,TE,x00102156,,"[""suwbg303""]",Descriptor #1,Letters
