Test,Level,Domain,Type,Testlet Name,Testlet Location In Stage,Testlet Node,Testlet Max. Score," Item Subdomain",Item Descriptor,Item Difficulty,Item Max. Score,Correct Answer,Item Type,Marking Type,Exemplar URL,Item RefID
Numeracy Year 5,5,Numeracy,Normal,CA1,1,CA,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,003b979d-7a77-46df-977c-fcf8e273fbcb
Numeracy Year 5,5,Numeracy,Normal,CA1,1,CA,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,003b979d-7a77-46df-977c-fcf8e273fbcb
Numeracy Year 3,3,Numeracy,Normal,CA1,1,CA,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,003b979d-7a77-46df-977c-fcf8e273fbcb
Numeracy Year 3,3,Numeracy,Normal,CA1,1,CA,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,003b979d-7a77-46df-977c-fcf8e273fbcb
Reading Year 9,9,Reading,Normal,B2,2,B,16,Letters,Descriptor #1,3,1,,IC,AS,https://www.assessform.edu.au/Exemplar/1,004e6bce-0367-4b66-a36c-d27559f71807
Reading Year 9,9,Reading,Normal,B2,2,B,16,Letters,Descriptor #1,3,1,,IC,AS,https://www.assessform.edu.au/Exemplar/1,004e6bce-0367-4b66-a36c-d27559f71807
Spelling Year 3,3,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0058b387-c63b-4f74-b47a-8a69096aa699
Spelling Year 3,3,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0058b387-c63b-4f74-b47a-8a69096aa699
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GE1,1,GE,25,Grammar,Descriptor #1,3,1,,IGA,AS,https://www.assessform.edu.au/Exemplar/1,00788946-0606-452b-8acb-e0f32703dcdb
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GE1,1,GE,25,Grammar,Descriptor #1,3,1,,IGA,AS,https://www.assessform.edu.au/Exemplar/1,00788946-0606-452b-8acb-e0f32703dcdb
Numeracy Year 9,9,Numeracy,Normal,CA1,1,CA,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,00a62e56-1453-40f1-8a8f-f5331995992c
Numeracy Year 9,9,Numeracy,Normal,CA1,1,CA,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,00a62e56-1453-40f1-8a8f-f5331995992c
Reading Year 7,7,Reading,Normal,E1,1,E,16,Letters,Descriptor #1,3,1,,PO,AS,https://www.assessform.edu.au/Exemplar/1,00baeb8c-a212-4b1b-8bf9-ac7ec873ac92
Reading Year 7,7,Reading,Normal,E1,1,E,16,Letters,Descriptor #1,3,1,,PO,AS,https://www.assessform.edu.au/Exemplar/1,00baeb8c-a212-4b1b-8bf9-ac7ec873ac92
Numeracy Year 5,5,Numeracy,Normal,A2,2,A,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,00c32dff-8418-4d06-a4ae-9d491379fdc5
Numeracy Year 5,5,Numeracy,Normal,A2,2,A,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,00c32dff-8418-4d06-a4ae-9d491379fdc5
Grammar and Punctuation Year 5,5,Grammar and Punctuation,Normal,GF2,2,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,00e82e16-26f4-42d0-ad31-70fe76822007
Grammar and Punctuation Year 5,5,Grammar and Punctuation,Normal,GF2,2,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,00e82e16-26f4-42d0-ad31-70fe76822007
Numeracy Year 3,3,Numeracy,Normal,A4,4,A,13,Numbers,Descriptor #1,3,1,,SL,AS,https://www.assessform.edu.au/Exemplar/1,00fce67f-a009-47b2-b64a-0ff916cf538c
Numeracy Year 3,3,Numeracy,Normal,A4,4,A,13,Numbers,Descriptor #1,3,1,,SL,AS,https://www.assessform.edu.au/Exemplar/1,00fce67f-a009-47b2-b64a-0ff916cf538c
Numeracy Year 7,7,Numeracy,Normal,D2,2,D,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,010c6485-ebd2-4fd4-87a5-ff1bcd171254
Numeracy Year 7,7,Numeracy,Normal,D2,2,D,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,010c6485-ebd2-4fd4-87a5-ff1bcd171254
Spelling Year 3,3,Spelling,Normal,PB2,2,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,015dbf62-8c86-424e-a6e1-a135f2afb7b4
Spelling Year 3,3,Spelling,Normal,PB2,2,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,015dbf62-8c86-424e-a6e1-a135f2afb7b4
Spelling Year 3,3,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0170861b-5613-45b4-b88c-4f27cb7258ed
Spelling Year 3,3,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0170861b-5613-45b4-b88c-4f27cb7258ed
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0176ef38-1695-4323-89a7-7d0682bc478d
